1,136,318
0,89,541
2,362,1017
5,559,1811
3,579,2385
4,606,2702
6,794,2714
7,875,2887
8,998,3359
9,1041,3562
11,1168,3830
10,1183,4762
12,1271,5388
14,1416,5588
13,1507,6536
15,1599,6666
16,1648,7444
17,1847,7742
18,1919,7994
19,1925,8682
20,2273,8677
21,2379,9374
22,2391,10197
23,2544,10676
25,2570,10974
24,2587,11640
27,2812,11613
26,2832,12238
28,2899,12966
29,3045,13494
30,3126,13888
32,3242,13863
31,3294,13962
33,3415,14994
34,3547,15266
35,3607,15290
36,3731,15459
37,3933,15511
38,4017,15478
41,4106,15511
39,4136,15583
40,4272,16149
43,4330,16133
42,4399,17059
44,4452,17369
45,4633,17889
46,4634,18363
49,4949,18711
48,4963,19010
47,4983,19133
51,5146,19183
50,5203,19378
52,5272,20523
53,5542,20316
55,5571,20951
54,5572,21254
57,5717,21710
56,5840,22150
59,5939,22602
58,5987,22847
60,6285,22872
61,6316,23042
63,6471,23409
62,6474,23739
64,6643,23794
66,6689,24062
65,6723,24352
67,6790,24486
68,6806,25664
69,7003,26023
71,7189,26883
70,7189,26975
72,7424,26950
73,7510,27365
74,7669,28050
75,7763,28037
77,7780,28551
76,7897,28807
78,7927,28907
79,8055,28862
81,8247,28992
80,8263,29109
82,8290,29814
83,8379,30289
84,8480,30770
85,8733,30721
87,8791,31257
86,8801,31447
88,8897,31754
89,9083,31669
90,9117,31715
91,9377,31878
92,9489,31817
93,9510,32008
94,9658,31940
95,9798,32316
96,9841,33365
97,9983,33778
98,10019,33872
99,10173,34151
