5,619,489,90
13,1407,279,100
18,1977,138,90
21,2217,180,80
23,2364,340,250
27,2739,176,100
19,2084,933,200
31,3224,280,210
33,3488,137,80
34,3588,119,80
28,2928,971,320
30,3097,1346,310
32,3447,1238,380
1,238,4572,240
15,1642,3287,350
14,1413,3637,210
7,821,4431,200
16,1725,3725,400
12,1335,4318,230
29,3024,2827,250
9,1087,5168,440
20,2013,4441,200
3,319,6439,690
4,448,6611,310
8,916,6444,310
24,2656,5001,300
11,1234,6726,300
17,1853,6408,300
22,2390,7575,550
26,2629,7836,800
6,637,10332,630
25,2666,8800,810
2,209,11761,930
10,1096,11374,620
0,51,12898,1420
