2,217,155,110
0,160,620,460
1,359,1463,1010
4,422,1533,130
3,502,2046,590
6,726,1843,20
5,730,1850,10
7,804,2200,420
8,883,2355,230
9,1100,2270,130
10,1114,2376,120
11,1163,2510,180
12,1296,2560,180
13,1442,2569,150
14,1505,3671,1160
15,1785,3512,120
17,1828,4032,560
16,1866,4496,500
18,1928,5438,1000
19,2148,6419,1200
22,2222,6367,20
20,2237,6677,320
21,2243,7422,750
24,2425,7352,110
23,2539,7850,610
26,2609,8079,300
25,2694,8298,300
27,2952,8865,820
28,3066,8881,130
31,3178,8859,90
29,3187,9154,300
30,3243,9331,230
32,3268,9837,530
33,3353,10166,410
34,3540,10172,190
35,3554,10550,390
36,3698,11320,910
37,3816,11674,470
39,3918,11602,30
38,4016,11554,50
40,4118,11773,320
41,4237,12088,430
43,4347,12079,100
42,4359,12702,630
44,4545,12737,220
45,4593,12922,230
47,4839,12987,310
46,4857,13803,830
49,5017,14035,390
48,5075,14460,480
