0,132,542,520
1,174,1004,500
4,465,1215,500
2,493,1251,60
3,497,1749,500
5,571,1737,60
7,756,2237,680
6,843,2662,510
9,968,3101,560
8,1078,3757,760
11,1143,3733,40
10,1250,3827,200
13,1322,4508,750
12,1345,4790,300
14,1617,5261,740
16,1695,5566,380
15,1733,6082,550
17,1942,6746,870
19,1963,6936,210
18,2041,6870,10
21,2103,7109,300
20,2183,7250,220
23,2426,7539,530
22,2458,7540,30
25,2500,7799,300
24,2526,8175,400
26,2776,7986,60
27,2915,8079,230
28,2936,8800,740
29,2981,9518,760
31,3190,9500,190
30,3213,9889,410
33,3334,10250,480
32,3349,10928,690
34,3645,10733,100
35,3760,11160,540
36,3821,11530,430
38,3843,11708,200
37,3961,11692,100
39,4172,11904,420
