3,540,1279,500
41,4351,3383,300
46,4694,8762,500
19,1974,12488,700
20,2269,13318,120
5,602,15471,620
6,883,15551,420
23,2513,14282,620
2,311,16728,120
35,3698,14264,1100
15,1678,16689,400
18,1942,17098,90
17,1852,17368,180
9,954,18450,910
33,3484,16009,510
26,2873,16892,680
42,4461,15555,670
48,4836,15797,250
43,4330,16354,570
39,4153,16633,250
16,1648,19192,430
34,3674,17266,130
47,4804,16387,400
25,2760,18514,30
0,107,21191,1030
4,632,20736,580
27,2773,18686,30
11,1330,20223,430
30,3215,18367,360
13,1567,20047,330
32,3219,18405,610
22,2373,19283,430
8,1011,20668,10
12,1324,20377,890
49,5007,16701,230
14,1557,20165,170
36,3869,17863,910
44,4695,17058,240
45,4678,17106,380
10,1276,20523,1000
37,3935,17873,100
21,2297,19522,10
29,2938,18891,310
28,3000,18861,190
24,2402,19470,560
38,3918,17963,310
40,4275,17617,480
1,321,21585,700
31,3249,18665,650
7,759,21167,160
