2,382,110,59,89,
11,1118,77,26,43,
7,805,571,41,668,
10,1290,906,117,893,
19,2186,20,20,10,
20,2116,101,101,91,
22,2242,16,16,6,
6,811,1549,1549,1449,
21,2106,354,354,578,
15,1642,1030,251,1091,
25,2571,132,132,102,
3,306,2743,409,3331,
8,980,2189,1015,9441,
35,3566,119,119,69,
31,3396,470,66,856,
36,3796,454,454,364,
45,4587,87,26,53,
52,5446,14,14,4,
42,4432,1785,1785,1695,
67,6939,63,63,33,
74,7572,115,115,85,
70,7061,727,123,670,
76,7819,202,100,332,
78,8049,94,94,64,
80,8120,31,31,21,
53,5576,2681,278,8330,
60,6161,2297,2297,11215,
84,8442,246,246,392,
82,8371,408,105,413,
93,9302,165,165,75,
33,3491,6082,6082,5982,
71,7300,2822,186,2818,
79,7917,2305,195,2310,
37,3823,6825,83,6965,
58,5827,5060,5060,9990,
62,6380,4868,78,5158,
63,6375,4994,367,16514,
73,7471,4258,96,4154,
44,4580,7273,44,14636,
83,8429,3780,77,11067,
85,8500,4192,3830,15433,
1,323,13018,57,38751,
89,9145,4589,4589,8948,
39,4029,10111,10111,40084,
49,4909,9631,77,19049,
81,8354,6784,638,7132,
18,2045,13300,13300,13100,
27,2758,13389,169,40205,
28,3092,13256,117,13608,
51,5308,11237,140,11279,
77,7832,9213,9212,18075,
57,5734,11613,5394,39583,
91,9328,8917,8917,8617,
38,3890,15261,7119,51229,
34,3451,16002,22,31636,
40,4267,15485,15485,61420,
61,6287,14065,13764,68883,
26,2741,17914,17914,17614,
24,2445,18511,18511,73334,
64,6468,15084,15084,59826,
69,7122,14732,112,29126,
66,6773,15382,15382,60978,
47,4970,17488,9972,56596,
87,8702,15255,189,30478,
90,9019,15239,15239,14939,
72,7315,17244,80,68306,
94,9589,15571,15571,61534,
68,6842,19222,19222,75788,
29,3197,23172,1144,49196,
55,5510,21357,12138,75229,
43,4379,23491,5646,57614,
30,3064,25307,570,25297,
17,1932,26940,26940,53280,
56,5612,23758,513,52876,
88,9057,21311,21311,105865,
4,559,30318,75,86367,
65,6556,25317,105,50109,
92,9271,23101,3300,72185,
75,7714,25161,84,74256,
41,4376,29003,429,74567,
12,1398,32985,32985,163625,
59,5933,28946,28946,28446,
5,791,34594,34594,137566,
9,1047,34838,34838,103954,
48,5002,31881,306,104728,
0,172,37181,31172,129587,
50,5087,32797,28792,146465,
14,1594,37295,34792,182922,
54,5411,33975,11336,78466,
16,1642,38247,22020,119674,
23,2514,37876,37876,37376,
13,1554,39337,39337,117311,
46,4816,36573,36573,36073,
32,3376,38516,38516,76442,
86,8799,33587,33587,133138,
,,,,,2.2406719
