1,395,307,264,267,
2,249,375,354,65,
3,343,491,491,391,
9,922,55,55,25,
14,1579,167,167,77,
10,1243,635,19,535,
12,1210,1133,132,963,
21,2327,96,96,16,
22,2375,80,80,50,
26,2742,169,56,49,
15,1664,1348,93,1208,
19,1928,1184,1184,1084,
32,3225,68,68,58,
31,3296,139,138,89,
30,3202,333,333,233,
33,3483,82,82,52,
36,3854,56,56,46,
41,4138,136,105,76,
44,4448,130,100,70,
51,5234,200,99,10,
53,5534,32,32,22,
56,5615,143,42,33,
60,6063,180,57,60,
62,6271,83,83,73,
63,6374,151,151,71,
6,782,5999,63,5589,
40,4280,2739,115,2529,
34,3461,3679,155,3339,
8,952,6672,36,6462,
49,5119,2984,125,2774,
23,2482,5863,83,5713,
13,1418,8331,146,7721,
54,5536,4411,19,4001,
0,297,10254,10253,10054,
42,4359,6391,26,6041,
46,4867,6284,104,5934,
18,1985,9369,86,8929,
20,2037,9516,9516,9316,
50,5236,6917,6917,6717,
57,5757,6596,6596,6396,
47,4748,7907,92,7357,
25,2631,10325,10325,10025,
35,3679,9577,27,9027,
61,6316,7239,128,6529,
11,1289,13471,104,12831,
24,2627,13334,9126,12534,
52,5367,10893,77,10383,
58,6043,10717,109,9807,
43,4417,12845,1129,11645,
64,6483,11278,52,10568,
39,3971,15293,40,14683,
48,4988,14777,74,14057,
37,3757,17008,142,15658,
29,3002,18265,18264,17765,
16,1860,19908,69,19358,
38,3984,18283,6164,17283,
4,475,22295,259,21265,
45,4611,18657,78,17967,
17,1724,22045,295,21115,
59,5943,18324,66,16674,
5,779,23993,77,22883,
7,919,24354,333,23554,
27,2709,23062,23062,22562,
55,5754,20516,20516,20016,
28,3055,23717,137,22857,
,,,,,2.4274564
