0,229,241,100,141,
4,545,736,253,156,
1,264,1542,435,1412,
5,622,1304,1273,1184,
2,205,1884,192,1594,
7,965,1696,1463,1346,
9,1109,1796,1795,1786,
12,1216,1921,1809,1691,
11,1298,2102,1981,1952,
13,1338,2564,2263,2064,
14,1472,2562,2562,2532,
17,1708,2869,2749,2649,
16,1753,3448,2926,2828,
18,1847,3788,3435,3358,
19,2126,4240,3608,3510,
21,2171,4696,4696,4196,
20,2255,4953,4642,4613,
6,750,6960,1457,6380,
23,2327,5683,5682,5383,
22,2399,5731,5731,5611,
24,2608,5744,5533,5524,
8,1017,7636,1655,7206,
25,2788,5875,5875,5865,
26,2872,5911,5911,5791,
27,2906,6469,5958,5879,
28,2954,6903,6512,6423,
30,3117,7422,7240,6742,
29,3128,7711,7711,7411,
32,3242,8289,7647,7599,
10,1249,10784,1898,10274,
33,3340,9492,9191,8692,
31,3345,10271,9789,9491,
34,3574,10252,10051,10042,
36,3652,10336,10294,10176,
35,3671,11310,10328,10320,
37,3891,11290,11290,11090,
38,3959,11884,11302,11224,
3,568,15779,906,14979,
41,4107,12388,12287,12238,
39,4139,12437,12436,12357,
40,4203,12824,12673,12374,
15,1570,15759,2584,15239,
42,4333,14167,13194,12997,
43,4357,14785,14643,14145,
44,4477,14766,14765,14666,
45,4723,14771,14570,14521,
46,4774,14801,14801,14721,
47,4949,15418,14725,14628,
48,5028,15581,15439,15341,
49,5036,15594,15583,15574,
50,5166,16287,15584,15467,
51,5347,16196,16115,16106,
52,5352,16623,16391,16193,
53,5364,17023,16911,16613,
54,5415,17254,17062,16974,
55,5591,17711,17379,17081,
56,5682,18251,17740,17621,
57,5824,18160,18160,18110,
59,5990,18876,18494,17996,
60,6023,20044,19043,18844,
58,6096,20423,20001,19973,
61,6124,20637,20596,20397,
63,6363,20669,20488,20399,
64,6452,21762,21081,20582,
62,6475,21790,21790,21740,
66,6646,21940,21819,21620,
65,6763,21994,21903,21824,
67,6822,22066,22035,21936,
69,6941,22158,21957,21948,
68,6954,22657,22155,22147,
70,7166,22828,22495,22698,
71,7167,22949,22505,22579,
72,7384,22923,22782,22733,
73,7483,23446,22874,22826,
74,7660,23760,23279,23270,
75,7707,23995,23914,23715,
76,7850,23983,23972,23853,
79,7978,24238,23865,23858,
77,7980,24926,24735,24236,
78,7985,25174,25003,24924,
81,8137,25824,25323,25024,
80,8273,26248,25806,25688,
82,8402,26853,26151,26123,
83,8511,26866,26754,26746,
84,8563,27336,26824,26816,
85,8678,27503,27251,27223,
86,8797,27444,27434,27384,
88,8814,27969,27518,27429,
87,8873,28111,28030,27911,
89,8929,28577,28176,28057,
90,9130,28716,28575,28376,
91,9259,28649,28618,28589,
93,9338,29251,28670,28571,
92,9491,29139,29108,29099,
94,9617,29164,29023,29014,
95,9651,29631,29630,29131,
96,9673,30260,30109,29610,
97,9705,30369,30318,30229,
98,9853,30272,30271,30222,
99,9967,30519,30358,30159,
100,10190,30747,30385,30297,
101,10235,31203,31202,30703,
102,10282,31898,31246,31158,
104,10559,31971,31671,31621,
103,10594,32368,32237,31938,
,,,,,2.4433947
