0,32,866,243,46,
1,156,816,816,786,
2,400,913,621,573,
3,543,1656,871,776,
4,617,1813,1612,1583,
5,634,1877,1877,1797,
7,705,2018,1817,1808,
6,790,1944,1944,1934,
8,897,2031,1868,1841,
10,1028,2001,2000,1901,
9,1097,2094,1942,1934,
11,1164,2418,2117,2028,
12,1287,2594,2594,2294,
13,1302,2901,2680,2581,
14,1527,2798,2797,2678,
15,1582,3876,2793,2746,
16,1845,3623,3623,3613,
17,1954,3616,3525,3516,
18,1998,3581,3581,3571,
19,2039,4094,3551,3544,
20,2185,4770,4448,3950,
21,2263,5417,4793,4697,
22,2338,6005,5642,5345,
24,2401,7345,6443,5945,
23,2483,7675,7293,7265,
25,2642,7939,7636,7519,
28,2801,8290,8279,7780,
26,2870,9455,8522,8225,
29,2943,10195,9391,9385,
27,2989,10873,10230,10153,
30,3083,11401,11079,10781,
31,3303,11363,11281,11183,
34,3415,11773,11551,11253,
32,3490,12289,11788,11699,
33,3521,12289,12288,12259,
35,3569,12462,12341,12242,
37,3738,13064,12322,12294,
36,3879,13167,13015,12927,
38,4034,14224,13131,13014,
39,4178,14171,14170,14081,
41,4210,14480,14259,14140,
40,4266,15447,14925,14427,
42,4413,15662,15390,15302,
43,4591,15494,15494,15484,
44,4642,16336,15533,15446,
,,,,,2.1442866
