0,99,283,112,23,
1,208,215,205,195,
2,302,293,210,123,
4,440,355,355,155,
3,476,620,620,320,
5,598,588,588,498,
6,666,1051,551,521,
9,917,1492,831,802,
7,948,1884,1511,1464,
8,976,2197,2156,1857,
10,1013,2221,2171,2161,
11,1136,2929,2129,2099,
12,1270,2876,2876,2796,
13,1567,3000,2779,2580,
14,1570,3078,3078,2998,
15,1625,3495,3053,3025,
16,1695,3456,3455,3426,
17,1899,3452,3452,3252,
18,1951,3801,3410,3401,
20,2012,3951,3751,3741,
19,2113,4151,4051,3851,
21,2137,4327,4226,4127,
23,2345,4790,4200,4120,
22,2358,5730,5078,4780,
26,2641,5998,5947,5448,
24,2644,6085,6075,5995,
25,2700,6721,6039,6031,
27,2788,6744,6713,6634,
29,2906,7306,6925,6626,
30,3051,7662,7662,7162,
28,3084,8291,7679,7631,
31,3310,8987,8366,8067,
32,3392,9096,8985,8906,
33,3405,9344,9174,9084,
34,3514,10036,9736,9236,
35,3598,10173,9962,9953,
36,3899,10123,10072,9873,
38,3917,10316,10185,10106,
37,3938,10385,10384,10295,
39,4025,10399,10399,10299,
40,4280,10183,10153,10143,
42,4297,10597,10247,10167,
43,4308,10667,10666,10587,
41,4318,11308,10777,10658,
44,4484,11642,11642,11142,
,,,,,2.7898328
