0,132,279,67,19,
1,380,299,248,49,
2,383,407,306,297,
3,395,797,595,397,
5,572,1121,1121,621,
4,621,1993,1193,1073,
6,766,2269,2149,1849,
7,794,2443,2341,2243,
8,851,2777,2506,2387,
10,1006,2742,2742,2622,
11,1133,2787,2666,2617,
9,1189,3732,3231,2732,
12,1241,4542,3760,3682,
13,1328,4567,4465,4457,
14,1469,4646,4525,4426,
15,1651,4686,4494,4466,
16,1896,5013,4471,4443,
17,1971,5538,5438,4938,
19,2060,5500,5500,5450,
18,2065,5996,5996,5496,
20,2078,6325,6013,5985,
22,2276,6529,6427,6129,
21,2308,7309,6797,6499,
24,2412,7306,7255,7206,
23,2464,7446,7265,7256,
25,2652,7369,7288,7259,
26,2778,7534,7323,7244,
28,2803,7620,7590,7510,
27,2817,7868,7637,7608,
29,3030,8176,7665,7656,
31,3200,8247,8056,8007,
30,3255,8313,8313,8193,
32,3405,8264,8173,8164,
34,3438,8292,8241,8232,
33,3495,8616,8355,8236,
35,3552,9710,9059,8560,
36,3824,10059,9518,9439,
38,3847,11300,10537,10040,
37,3861,11537,11296,11287,
39,4150,11258,11258,11248,
40,4181,11788,11237,11228,
41,4274,11776,11776,11696,
43,4349,11952,11821,11702,
42,4464,12058,11937,11838,
44,4547,12065,12065,11975,
,,,,,2.708233
